id,model,servo_type,firmware,cw_limit_ticks,cw_limit_deg,ccw_limit_ticks,ccw_limit_deg,range_deg,temp_limit_c,voltage_min_v,voltage_max_v,max_torque_raw,status_return_level,alarm_shutdown_mask
1,320,MX-106,41,0,0.0,4095,359.912,359.912,80.0,6.0,16.0,1023,2,36
3,310,MX-64,41,0,0.0,3672,322.734,322.734,80.0,6.0,16.0,1023,2,36
5,310,MX-64,41,896,78.75,3712,326.25,247.5,80.0,6.0,16.0,1023,2,36
7,310,MX-64,41,1800,158.203,2800,246.094,87.891,80.0,6.0,16.0,1023,2,36
9,320,MX-106,41,1024,90.0,2105,185.01,95.01,80.0,6.0,16.0,1023,2,36
11,320,MX-106,41,1024,90.0,2432,213.75,123.75,80.0,6.0,16.0,1023,2,36
2,320,MX-106,41,0,0.0,4095,359.912,359.912,80.0,6.0,16.0,1023,2,36
4,310,MX-64,41,409,35.947,3200,281.25,245.303,80.0,6.0,16.0,1023,2,36
6,310,MX-64,41,384,33.75,3200,281.25,247.5,80.0,6.0,16.0,1023,2,36
8,310,MX-64,36,1296,113.906,2296,201.797,87.891,80.0,6.0,16.0,1023,2,36
10,320,MX-106,41,1992,175.078,3072,270.0,94.922,80.0,6.0,16.0,1023,2,36
12,320,MX-106,41,1664,146.25,3072,270.0,123.75,80.0,6.0,16.0,1023,2,36
13,320,MX-106,41,1800,158.203,3500,307.617,149.414,80.0,6.0,16.0,1023,2,36
15,320,MX-106,41,1843,161.982,3072,270.0,108.018,80.0,6.0,16.0,1023,2,36
17,320,MX-106,41,1024,90.0,3072,270.0,180.0,80.0,6.0,16.0,1023,2,36
14,320,MX-106,41,550,48.34,2275,199.951,151.611,80.0,6.0,16.0,1023,2,36
16,320,MX-106,41,1024,90.0,2275,199.951,109.951,80.0,6.0,16.0,1023,2,36
18,320,MX-106,41,1024,90.0,3072,270.0,180.0,80.0,6.0,16.0,1023,2,36
